City,State,Latitude,Longitude,Year,Month,NDVI,NDBI,NDWI,Elevation (m),LST (°C)
Mumbai,Mahārāshtra,19.0758,72.8775,2022,January,0.0474,0.0172,-0.0466,5,32.38
Kolkata,West Bengal,22.5675,88.37,2022,January,0.1008,0.0061,-0.1774,6,25.79
Delhi,Delhi,28.66,77.23,2022,January,0.0226,-0.2908,-0.0147,219,18.52
Chennai,Tamil Nādu,13.0825,80.275,2022,January,0.0448,0.2193,-0.0583,9,30.75
Bangalore,Karnātaka,12.9791,77.5913,2022,January,0.3215,-0.0521,-0.3177,924,27.99
Ahmedabad,Gujarāt,23.0219,72.5797,2022,January,0.1919,-0.0508,-0.2012,52,24.61
Pune,Mahārāshtra,18.5211,73.8553,2022,January,0.2606,-0.0227,-0.247,554,28.25
Hyderabad,Telangāna,17.3617,78.4747,2022,January,0.0485,0.1374,-0.1147,508,28.61
Surat,Gujarāt,21.205,72.84,2022,January,0.0842,0.041,-0.1138,14,29.21
Prayagraj,Uttar Pradesh,25.45,81.85,2022,January,0.2375,-0.0158,-0.2209,95,20.28
Kanpur,Gujarāt,24.285,72.6933,2022,January,0.6028,-0.1696,-0.5757,335,24.67
Kanpur,Uttar Pradesh,26.4725,80.3311,2022,January,0.0877,0.0093,-0.0854,132,20.03
Belahi,Bihār,25.7167,86.4,2022,January,0.1641,-0.2934,-0.0791,41,17.97
Vadodara,Gujarāt,22.3,73.2,2022,January,0.1892,0.0035,-0.2086,38,27.8
Nadampalaiyam,Tamil Nādu,11.1793,77.376,2022,January,0.1554,0.084,-0.1936,318,30.71
Lucknow,Uttar Pradesh,26.847,80.947,2022,January,0.0599,0.0025,-0.0436,115,19.3
Kannankulam,Kerala,10.4799,76.1131,2022,January,0.572,-0.1217,-0.5209,13,30.04
Mahuakheraganj,Uttarākhand,29.13,78.95,2022,January,0.2072,-0.2156,-0.1341,222,16.53
Nagla,Uttarākhand,29.01,79.51,2022,January,0.5631,-0.1906,-0.481,227,18.35
Jaipur,Rājasthān,26.915,75.82,2022,January,0.5968,-0.2226,-0.5679,441,19.54
Kottarassheri,Kerala,10.6167,76.5333,2022,January,0.284,0.1021,-0.4779,147,28.6
Attadappa,Kerala,11.85,75.4167,2022,January,0.7535,-0.3073,-0.691,37,31.18
Barmhan Kalan,Madhya Pradesh,23.0333,79.0167,2022,January,0.3842,-0.1494,-0.3472,337,22.3
Gorakhpur,Chhattīsgarh,22.1688,81.6042,2022,January,0.2987,0.0516,-0.3922,305,24.64
Nagpur,Mahārāshtra,21.1497,79.0806,2022,January,0.3251,-0.0843,-0.3339,318,25.67
Guwahati,Assam,26.1806,91.7502,2022,January,0.0463,0.0683,-0.0473,57,21.02
Ghaziabad,Uttar Pradesh,28.6667,77.4167,2022,January,0.0029,-0.3691,-0.002,211,18.3
Coimbatore,Tamil Nādu,11.0008,76.9633,2022,January,0.024,-0.0077,-0.0109,417,29.43
Patna,Bihār,25.61,85.1414,2022,January,0.1265,0.0216,-0.059,63,21.57
Rajkot,Gujarāt,22.2969,70.7984,2022,January,0.0906,0.2298,-0.1512,134,26.28
Vishakhapatnam,Andhra Pradesh,17.6939,83.2922,2022,January,0.1767,0.0485,-0.1655,12,28.11
Indore,Madhya Pradesh,22.7186,75.855,2022,January,0.0701,0.1249,-0.0709,553,24.53
Abhepur,Punjab,30.6667,76.8333,2022,January,0.0141,-0.1537,-0.0049,311,17.46
Gumanwala,Uttarākhand,29.9333,77.9,2022,January,-0.0086,-0.1445,0.0276,277,16.68
Thane,Mahārāshtra,19.18,72.9633,2022,January,0.4311,-0.0914,-0.3798,14,29.78
Bhopal,Madhya Pradesh,23.25,77.4167,2022,January,0.0269,-0.1055,-0.0116,512,21.99
Agra,Uttar Pradesh,27.18,78.02,2022,January,0.2646,0.0626,-0.349,184,17.76
Peyanvilai,Tamil Nādu,8.5674,78.1046,2022,January,0.2276,0.027,-0.2802,8,29.24
Pimpri-Chinchwad,Mahārāshtra,18.6278,73.8131,2022,January,0.3873,-0.0704,-0.4078,584,28.68
Harbatpur,Uttarākhand,30.45,77.73,2022,January,0.3317,-0.0022,-0.3602,445,16.26
Saundhonwali,Uttarākhand,30.3331,77.9608,2022,January,0.075,0.0738,-0.112,612,16.58
Ludhiana,Punjab,30.9083,75.8486,2022,January,0.0235,-0.0598,-0.0215,243,15.52
Meerut,Uttar Pradesh,28.98,77.7064,2022,January,-0.0126,-0.1215,0.007,228,18.2
Madurai,Tamil Nādu,9.9197,78.1194,2022,January,0.1405,0.2994,-0.295,141,32.78
Nasik,Mahārāshtra,20.0,73.7833,2022,January,0.123,0.0895,-0.1885,588,27.45
Faridabad,Haryāna,28.4167,77.3,2022,January,0.0257,-0.2256,-0.0114,208,18.52
Madarpur,Bihār,26.227,84.6746,2022,January,0.1849,-0.0425,-0.1648,69,16.93
Najafgarh,Delhi,28.6125,76.9847,2022,January,0.0143,-0.0004,-0.0061,220,17.11
Jabalpur,Madhya Pradesh,23.1667,79.9333,2022,January,0.124,0.1119,-0.1663,399,23.04
Madanpur,Uttarākhand,29.326,79.1537,2022,January,0.2469,-0.2174,-0.1646,315,17.81
Kamalwaganja Gaur,Uttarākhand,29.2117,79.4654,2022,January,0.4647,-0.0089,-0.4429,383,17.1
Kalyan,Mahārāshtra,19.25,73.15,2022,January,0.1656,0.1419,-0.1698,10,30.04
Asansol,West Bengal,23.6833,86.9667,2022,January,0.2019,0.0856,-0.2272,125,23.31
Vijayawada ,Andhra Pradesh,16.5167,80.6167,2022,January,0.2522,-0.0458,-0.2193,27,27.78
Vasai-Virar,Mahārāshtra,19.47,72.8,2022,January,0.0846,0.1127,-0.0934,0,29.94
Varanasi,Uttar Pradesh,25.3189,83.0128,2022,January,0.0563,-0.0399,-0.0411,78,19.96
Kalleli,Kerala,9.2,76.8833,2022,January,0.6081,0.0184,-0.6387,133,30.59
Srinagar,Jammu and Kashmīr,34.0911,74.8061,2022,January,-0.026,-0.1355,0.0331,1595,4.02
Aurangabad,Mahārāshtra,19.88,75.32,2022,January,0.2173,-0.0518,-0.2393,564,29.01
Dhanbad,Jhārkhand,23.7928,86.435,2022,January,0.3658,0.061,-0.4142,245,23.37
Amritsar,Punjab,31.6269,74.877,2022,January,0.025,-0.2807,-0.0255,234,17.13
Haora,West Bengal,22.58,88.3294,2022,January,0.1823,0.0953,-0.2287,12,23.47
Ranchi,Jhārkhand,23.3556,85.3347,2022,January,0.4687,-0.0248,-0.4344,643,22.36
Gwalior,Madhya Pradesh,26.2125,78.1775,2022,January,0.0767,0.0942,-0.1246,215,19.39
Jodhpur,Rājasthān,26.2944,73.0278,2022,January,0.0928,-0.0098,-0.0949,251,22.2
Chandigarh,Chandīgarh,30.7364,76.7883,2022,January,0.1064,-0.0548,-0.0824,349,17.07
Raipur,Chhattīsgarh,21.2379,81.6337,2022,January,0.1225,0.0465,-0.146,309,25.49
Warangal,Telangāna,17.9756,79.6011,2022,January,0.0891,0.0976,-0.124,269,27.78
Kota,Rājasthān,25.18,75.83,2022,January,0.1092,0.0227,-0.1754,230,21.61
Bareilly,Uttar Pradesh,28.364,79.415,2022,January,-0.0357,0.0571,-0.0299,180,17.76
Solapur,Mahārāshtra,17.6703,75.9011,2022,January,0.1202,0.0526,-0.1751,474,30.63
Hubli,Karnātaka,15.3108,75.0925,2022,January,0.2407,0.0809,-0.2956,618,29.65
Mysore,Karnātaka,12.3086,76.6531,2022,January,0.0734,0.1278,-0.1092,747,29.12
Trichinopoly,Tamil Nādu,10.8269,78.6928,2022,January,0.3164,-0.0834,-0.3466,74,30.49
Moradabad,Uttar Pradesh,28.8389,78.7769,2022,January,0.0188,0.0421,-0.0271,205,19.39
Tiruppur,Tamil Nādu,11.1075,77.3398,2022,January,0.2618,0.0247,-0.2457,305,32.19
Jamnagar,Gujarāt,22.47,70.07,2022,January,0.2211,0.0791,-0.2223,21,26.13
Gurgaon,Haryāna,28.4667,77.0333,2022,January,0.0459,-0.0606,-0.0424,224,17.34
Aligarh,Uttar Pradesh,27.88,78.08,2022,January,0.1699,-0.0248,-0.1906,190,17.3
Jalandhar,Punjab,31.3256,75.5792,2022,January,-0.0068,-0.1417,0.0065,242,16.52
Bhubaneshwar,Odisha,20.295,85.825,2022,January,0.1664,-0.0528,-0.1787,47,26.45
Bhayandar,Mahārāshtra,19.3,72.85,2022,January,0.202,0.1426,-0.2015,9,29.8
Narela,Delhi,28.85,77.1,2022,January,0.0032,-0.1101,0.0219,212,16.26
Shishgarh,Uttar Pradesh,28.72,79.32,2022,January,0.7198,-0.493,-0.6123,181,17.85
Thiruvananthapuram,Kerala,8.4875,76.9525,2022,January,0.0772,0.1013,-0.1338,15,34.53
Dispur,Assam,26.15,91.77,2022,January,0.2842,-0.0172,-0.2473,116,21.82
Durgapur,West Bengal,23.55,87.32,2022,January,0.2872,0.0248,-0.2906,90,22.42
Bhiwandi,Mahārāshtra,19.3,73.0667,2022,January,0.0596,-0.0473,-0.1332,25,32.53
Saharanpur,Uttar Pradesh,29.964,77.546,2022,January,-0.0269,-0.3064,0.0207,280,18.09
Shiliguri,West Bengal,26.72,88.42,2022,January,0.1331,0.0337,-0.1406,119,24.13
Avadi,Tamil Nādu,13.1147,80.1098,2022,January,0.2934,-0.0022,-0.2572,32,30.17
Salem,Tamil Nādu,11.65,78.1667,2022,January,0.0347,-0.0766,-0.0424,285,31.56
Jui,Uttarākhand,29.67,78.9098,2022,January,0.8041,-0.1463,-0.7238,890,14.83
Amaldu,Uttarākhand,29.9333,78.5333,2022,January,0.4937,0.0139,-0.5245,1406,14.5
Kimsar,Jammu and Kashmīr,34.5,74.5333,2022,January,0.1668,-0.7639,-0.1586,3058,-9.28
Sinduri,Himāchal Pradesh,30.7167,77.15,2022,January,0.4188,0.0452,-0.4709,943,16.21
Gorakhpur,Uttar Pradesh,26.7611,83.3667,2022,January,0.0408,0.0526,-0.0506,84,20.0
Guntur,Andhra Pradesh,16.3,80.45,2022,January,0.1981,0.0735,-0.2176,34,31.1
Karaikandi,Assam,24.8309,92.6143,2022,January,0.2021,-0.0966,-0.1933,20,22.6
Mumbai,Mahārāshtra,19.0758,72.8775,2022,February,0.0772,0.0571,-0.1452,5,35.81
Kolkata,West Bengal,22.5675,88.37,2022,February,0.0834,0.0273,-0.1458,6,29.58
Delhi,Delhi,28.66,77.23,2022,February,0.163,0.0508,-0.2298,219,23.6
Chennai,Tamil Nādu,13.0825,80.275,2022,February,0.026,0.2268,-0.0833,9,34.34
Bangalore,Karnātaka,12.9791,77.5913,2022,February,0.3865,-0.1231,-0.3897,924,30.42
Ahmedabad,Gujarāt,23.0219,72.5797,2022,February,0.2324,0.0058,-0.2746,52,30.98
Pune,Mahārāshtra,18.5211,73.8553,2022,February,0.2623,-0.0007,-0.2859,554,33.0
Hyderabad,Telangāna,17.3617,78.4747,2022,February,0.0799,0.1486,-0.1979,508,33.67
Surat,Gujarāt,21.205,72.84,2022,February,0.1291,0.0511,-0.1858,14,33.28
Prayagraj,Uttar Pradesh,25.45,81.85,2022,February,0.27,0.0313,-0.34,95,26.16
Kanpur,Gujarāt,24.285,72.6933,2022,February,0.5409,-0.1342,-0.5571,335,32.46
Kanpur,Uttar Pradesh,26.4725,80.3311,2022,February,0.1381,0.0351,-0.2135,132,25.63
Belahi,Bihār,25.7167,86.4,2022,February,0.2876,-0.1793,-0.2382,41,22.27
Vadodara,Gujarāt,22.3,73.2,2022,February,0.1852,0.0488,-0.2432,38,32.29
Nadampalaiyam,Tamil Nādu,11.1793,77.376,2022,February,0.1046,0.1572,-0.1551,318,34.84
Lucknow,Uttar Pradesh,26.847,80.947,2022,February,0.1065,0.0887,-0.154,115,24.63
Kannankulam,Kerala,10.4799,76.1131,2022,February,0.5136,-0.0658,-0.483,13,32.02
Mahuakheraganj,Uttarākhand,29.13,78.95,2022,February,0.4361,-0.1917,-0.4242,222,21.08
Nagla,Uttarākhand,29.01,79.51,2022,February,0.5943,-0.2348,-0.5282,227,21.6
Jaipur,Rājasthān,26.915,75.82,2022,February,0.5955,-0.1982,-0.5748,441,26.27
Kottarassheri,Kerala,10.6167,76.5333,2022,February,0.2333,0.1452,-0.4211,147,30.27
Attadappa,Kerala,11.85,75.4167,2022,February,0.7077,-0.2478,-0.6318,37,32.32
Barmhan Kalan,Madhya Pradesh,23.0333,79.0167,2022,February,0.6417,-0.1743,-0.6257,337,28.15
Gorakhpur,Chhattīsgarh,22.1688,81.6042,2022,February,0.2544,0.077,-0.3537,305,28.2
Nagpur,Mahārāshtra,21.1497,79.0806,2022,February,0.3262,-0.0583,-0.3484,318,31.07
Guwahati,Assam,26.1806,91.7502,2022,February,-0.0613,0.1069,0.1373,57,24.24
Ghaziabad,Uttar Pradesh,28.6667,77.4167,2022,February,0.1853,0.0048,-0.2052,211,24.04
Coimbatore,Tamil Nādu,11.0008,76.9633,2022,February,0.2296,0.0268,-0.2296,417,34.33
Patna,Bihār,25.61,85.1414,2022,February,0.1159,0.1537,-0.1731,63,24.76
Rajkot,Gujarāt,22.2969,70.7984,2022,February,0.1208,0.2477,-0.2348,134,32.3
Vishakhapatnam,Andhra Pradesh,17.6939,83.2922,2022,February,0.1951,0.1362,-0.2614,12,31.59
Indore,Madhya Pradesh,22.7186,75.855,2022,February,0.0811,0.1813,-0.1674,553,30.59
Abhepur,Punjab,30.6667,76.8333,2022,February,0.194,0.0143,-0.258,311,22.26
Gumanwala,Uttarākhand,29.9333,77.9,2022,February,0.3376,-0.0563,-0.3944,277,20.55
Thane,Mahārāshtra,19.18,72.9633,2022,February,0.6107,-0.1821,-0.589,14,33.31
Bhopal,Madhya Pradesh,23.25,77.4167,2022,February,0.0907,0.1027,-0.1509,512,28.07
Agra,Uttar Pradesh,27.18,78.02,2022,February,0.2671,0.0939,-0.3927,184,24.85
Peyanvilai,Tamil Nādu,8.5674,78.1046,2022,February,0.2691,-0.0011,-0.304,8,31.0
Pimpri-Chinchwad,Mahārāshtra,18.6278,73.8131,2022,February,0.4828,-0.0859,-0.4799,584,34.07
Harbatpur,Uttarākhand,30.45,77.73,2022,February,0.2602,0.1044,-0.324,445,20.07
Saundhonwali,Uttarākhand,30.3331,77.9608,2022,February,0.09,0.0637,-0.1386,612,20.85
Ludhiana,Punjab,30.9083,75.8486,2022,February,0.2409,-0.0852,-0.2614,243,21.64
Meerut,Uttar Pradesh,28.98,77.7064,2022,February,0.0621,0.0714,-0.1058,228,23.49
Madurai,Tamil Nādu,9.9197,78.1194,2022,February,0.1492,0.2437,-0.3176,141,35.53
Nasik,Mahārāshtra,20.0,73.7833,2022,February,0.1247,0.067,-0.2144,588,32.44
Faridabad,Haryāna,28.4167,77.3,2022,February,0.2534,0.0804,-0.2888,208,23.55
Madarpur,Bihār,26.227,84.6746,2022,February,0.1614,0.053,-0.2039,69,22.4
Najafgarh,Delhi,28.6125,76.9847,2022,February,0.0943,0.067,-0.189,220,23.67
Jabalpur,Madhya Pradesh,23.1667,79.9333,2022,February,0.1392,0.1096,-0.2141,399,28.72
Madanpur,Uttarākhand,29.326,79.1537,2022,February,0.8277,-0.481,-0.7363,315,20.7
Kamalwaganja Gaur,Uttarākhand,29.2117,79.4654,2022,February,0.4212,0.039,-0.4073,383,21.34
Kalyan,Mahārāshtra,19.25,73.15,2022,February,0.1736,0.1105,-0.2308,10,34.03
Asansol,West Bengal,23.6833,86.9667,2022,February,0.1755,0.1428,-0.2082,125,27.23
Vijayawada ,Andhra Pradesh,16.5167,80.6167,2022,February,0.3309,-0.0305,-0.3333,27,31.19
Vasai-Virar,Mahārāshtra,19.47,72.8,2022,February,0.1133,0.2555,-0.1777,0,33.35
Varanasi,Uttar Pradesh,25.3189,83.0128,2022,February,0.1559,0.002,-0.2407,78,25.17
Kalleli,Kerala,9.2,76.8833,2022,February,0.8635,-0.3643,-0.7463,133,31.77
Srinagar,Jammu and Kashmīr,34.0911,74.8061,2022,February,0.0826,0.1874,-0.1417,1595,14.1
