City,State,Latitude,Longitude,Year,Month,NDVI,NDBI,NDWI,Elevation (m),LST (°C)
Mumbai,Mahārāshtra,19.0758,72.8775,2023,January,0.0636,0.037,-0.1081,5,32.77
Kolkata,West Bengal,22.5675,88.37,2023,January,0.0306,-0.012,-0.0638,6,25.71
Delhi,Delhi,28.66,77.23,2023,January,0.0714,0.0302,-0.1099,219,19.03
Chennai,Tamil Nādu,13.0825,80.275,2023,January,0.0349,0.2455,-0.076,9,31.24
Bangalore,Karnātaka,12.9791,77.5913,2023,January,0.2625,-0.0213,-0.2992,924,27.46
Ahmedabad,Gujarāt,23.0219,72.5797,2023,January,0.2402,-0.0603,-0.2858,52,24.75
Pune,Mahārāshtra,18.5211,73.8553,2023,January,0.1858,0.0159,-0.2255,554,29.01
Hyderabad,Telangāna,17.3617,78.4747,2023,January,0.0755,0.1935,-0.133,508,30.07
Surat,Gujarāt,21.205,72.84,2023,January,0.1258,0.0641,-0.1971,14,28.78
Prayagraj,Uttar Pradesh,25.45,81.85,2023,January,0.2549,-0.0053,-0.27,95,20.59
Kanpur,Gujarāt,24.285,72.6933,2023,January,0.5605,-0.1698,-0.5733,335,24.13
Kanpur,Uttar Pradesh,26.4725,80.3311,2023,January,0.1171,0.0201,-0.1551,132,19.42
Belahi,Bihār,25.7167,86.4,2023,January,0.3099,-0.1804,-0.248,41,19.39
Vadodara,Gujarāt,22.3,73.2,2023,January,0.1838,0.0215,-0.2168,38,26.75
Nadampalaiyam,Tamil Nādu,11.1793,77.376,2023,January,0.1345,0.0937,-0.1932,318,31.28
Lucknow,Uttar Pradesh,26.847,80.947,2023,January,0.0941,0.0475,-0.1179,115,20.14
Kannankulam,Kerala,10.4799,76.1131,2023,January,0.4359,-0.175,-0.4112,13,29.25
Mahuakheraganj,Uttarākhand,29.13,78.95,2023,January,0.007,-0.0972,0.0192,222,19.62
Nagla,Uttarākhand,29.01,79.51,2023,January,0.0716,-0.0943,-0.0471,227,19.3
Jaipur,Rājasthān,26.915,75.82,2023,January,0.6202,-0.2,-0.6234,441,19.75
Kottarassheri,Kerala,10.6167,76.5333,2023,January,0.2868,0.2693,-0.3866,147,28.62
Attadappa,Kerala,11.85,75.4167,2023,January,0.7586,-0.316,-0.689,37,31.37
Barmhan Kalan,Madhya Pradesh,23.0333,79.0167,2023,January,0.6396,-0.1954,-0.6058,337,23.15
Gorakhpur,Chhattīsgarh,22.1688,81.6042,2023,January,0.2819,0.0251,-0.3711,305,26.75
Nagpur,Mahārāshtra,21.1497,79.0806,2023,January,0.2979,-0.058,-0.329,318,27.1
Guwahati,Assam,26.1806,91.7502,2023,January,0.0436,0.0781,-0.0685,57,22.13
