City,State,Latitude,Longitude,Year,Month,NDVI,NDBI,NDWI,Elevation (m),LST (°C)
Mumbai,Mahārāshtra,19.0758,72.8775,2024,January,0.0616,0.0221,-0.1168,5,32.76
Kolkata,West Bengal,22.5675,88.37,2024,January,0.0646,-0.0001,-0.1126,6,24.12
Delhi,Delhi,28.66,77.23,2024,January,0.0594,-0.0226,-0.0781,219,16.11
Chennai,Tamil Nādu,13.0825,80.275,2024,January,0.1052,0.2581,-0.0771,9,31.0
Bangalore,Karnātaka,12.9791,77.5913,2024,January,0.3298,-0.0975,-0.3478,924,27.5
Ahmedabad,Gujarāt,23.0219,72.5797,2024,January,0.2713,-0.0852,-0.3037,52,25.14
Pune,Mahārāshtra,18.5211,73.8553,2024,January,0.2069,-0.0447,-0.2268,554,28.23
Hyderabad,Telangāna,17.3617,78.4747,2024,January,0.0903,0.1677,-0.1399,508,29.06
Surat,Gujarāt,21.205,72.84,2024,January,0.168,0.0247,-0.2686,14,28.37
Prayagraj,Uttar Pradesh,25.45,81.85,2024,January,0.3564,-0.1293,-0.3418,95,11.34
Kanpur,Gujarāt,24.285,72.6933,2024,January,0.5261,-0.109,-0.5417,335,24.62
Vadodara,Gujarāt,22.3,73.2,2024,January,0.2056,-0.0141,-0.2452,38,26.32
Nadampalaiyam,Tamil Nādu,11.1793,77.376,2024,January,0.0906,0.0639,-0.1298,318,31.06
Kannankulam,Kerala,10.4799,76.1131,2024,January,0.5047,-0.1629,-0.4639,13,29.14
Nagla,Uttarākhand,29.01,79.51,2024,January,-0.0024,-0.1379,0.0254,227,15.85
Jaipur,Rājasthān,26.915,75.82,2024,January,0.5076,-0.104,-0.5251,441,18.48
Kottarassheri,Kerala,10.6167,76.5333,2024,January,0.3563,0.1052,-0.4488,147,27.79
Attadappa,Kerala,11.85,75.4167,2024,January,0.5432,-0.3067,-0.4691,37,29.44
Barmhan Kalan,Madhya Pradesh,23.0333,79.0167,2024,January,0.5352,-0.2319,-0.4812,337,21.46
Gorakhpur,Chhattīsgarh,22.1688,81.6042,2024,January,0.2656,0.0281,-0.3062,305,22.3
Nagpur,Mahārāshtra,21.1497,79.0806,2024,January,0.2325,-0.068,-0.2845,318,25.57
Guwahati,Assam,26.1806,91.7502,2024,January,0.018,0.0033,0.0042,57,20.74
Ghaziabad,Uttar Pradesh,28.6667,77.4167,2024,January,0.0085,-0.0815,-0.0091,211,18.45
Coimbatore,Tamil Nādu,11.0008,76.9633,2024,January,0.3068,-0.0106,-0.2823,417,30.09
Patna,Bihār,25.61,85.1414,2024,January,0.0606,0.0577,-0.0986,63,19.33
Rajkot,Gujarāt,22.2969,70.7984,2024,January,0.05,0.1675,-0.0823,134,26.41
Vishakhapatnam,Andhra Pradesh,17.6939,83.2922,2024,January,0.0568,0.0313,-0.0398,12,27.27
Indore,Madhya Pradesh,22.7186,75.855,2024,January,0.0725,0.1373,-0.174,553,24.76
Abhepur,Punjab,30.6667,76.8333,2024,January,0.013,-0.0705,-0.0122,311,19.25
Thane,Mahārāshtra,19.18,72.9633,2024,January,0.411,-0.1173,-0.4342,14,30.18
Bhopal,Madhya Pradesh,23.25,77.4167,2024,January,0.1138,0.1136,-0.1752,512,22.23
Agra,Uttar Pradesh,27.18,78.02,2024,January,0.1962,0.094,-0.2828,184,16.47
Peyanvilai,Tamil Nādu,8.5674,78.1046,2024,January,0.1919,0.0438,-0.2245,8,27.9
Pimpri-Chinchwad,Mahārāshtra,18.6278,73.8131,2024,January,0.3751,-0.1202,-0.3569,584,28.5
Harbatpur,Uttarākhand,30.45,77.73,2024,January,0.1554,0.0732,-0.1808,445,15.64
Saundhonwali,Uttarākhand,30.3331,77.9608,2024,January,0.0559,0.0141,-0.1262,612,16.1
Ludhiana,Punjab,30.9083,75.8486,2024,January,0.0916,-0.0718,-0.0886,243,13.91
Meerut,Uttar Pradesh,28.98,77.7064,2024,January,0.0683,0.0771,-0.1137,228,15.89
Madurai,Tamil Nādu,9.9197,78.1194,2024,January,0.1184,0.2812,-0.3236,141,32.07
Nasik,Mahārāshtra,20.0,73.7833,2024,January,0.1137,0.0913,-0.1815,588,27.22
Faridabad,Haryāna,28.4167,77.3,2024,January,0.138,-0.0032,-0.1609,208,17.58
Madarpur,Bihār,26.227,84.6746,2024,January,0.1477,-0.0537,-0.149,69,18.31
Najafgarh,Delhi,28.6125,76.9847,2024,January,0.0084,-0.0518,-0.0162,220,17.41
Jabalpur,Madhya Pradesh,23.1667,79.9333,2024,January,0.1342,0.0687,-0.1712,399,23.1
Madanpur,Uttarākhand,29.326,79.1537,2024,January,0.1405,-0.1396,-0.0931,315,15.9
Kamalwaganja Gaur,Uttarākhand,29.2117,79.4654,2024,January,0.3396,-0.0547,-0.3136,383,15.34
Kalyan,Mahārāshtra,19.25,73.15,2024,January,0.2468,0.1278,-0.29,10,30.39
Asansol,West Bengal,23.6833,86.9667,2024,January,0.1208,0.0705,-0.1382,125,21.24
Vijayawada ,Andhra Pradesh,16.5167,80.6167,2024,January,0.1164,-0.1141,-0.0763,27,26.98
Vasai-Virar,Mahārāshtra,19.47,72.8,2024,January,0.102,0.1996,-0.1683,0,29.91
Varanasi,Uttar Pradesh,25.3189,83.0128,2024,January,0.0308,-0.0295,-0.0304,78,19.77
Kalleli,Kerala,9.2,76.8833,2024,January,0.7384,-0.1675,-0.7025,133,29.73
